TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TimeSinceLastTransaction,TransactionHour,TransactionWeekday,IsNightTransaction,HighTransactionAmount,HighLoginAttempts,LowAccountBalance,TransactionAmountToBalanceRatio,is_fraud_predicted
TX000001,AC00128,14.09,2023-04-11 16:29:14,1,36,D000380,162.198.218.92,M015,0,70,0,81,1,5112.21,2024-11-04 08:08:08,-49477134.0,16,1,0,0,0,0,0.002755607534210408,0
TX000002,AC00455,376.24,2023-06-27 16:44:19,1,15,D000051,13.149.61.4,M052,0,68,0,141,1,13758.91,2024-11-04 08:09:35,-42823516.0,16,1,0,0,0,0,0.027343202099432338,0
TX000003,AC00019,126.29,2023-07-10 18:16:08,1,23,D000235,215.97.143.157,M009,2,19,3,56,1,1122.35,2024-11-04 08:07:04,-41694656.0,18,0,0,0,0,0,0.11242266435216096,0
TX000004,AC00070,184.5,2023-05-05 16:32:11,1,33,D000187,200.13.225.150,M002,2,26,3,25,1,8569.06,2024-11-04 08:09:06,-47403415.0,16,4,0,0,0,0,0.021528437373834024,0
TX000005,AC00411,13.45,2023-10-16 17:51:24,0,1,D000308,65.164.3.100,M091,2,26,3,198,1,7429.4,2024-11-04 08:06:39,-33228915.0,17,0,0,0,0,0,0.001810131352282515,0
TX000006,AC00393,92.15,2023-04-03 17:15:01,1,28,D000579,117.67.192.211,M054,0,18,3,172,1,781.68,2024-11-04 08:06:36,-50165495.0,17,0,0,0,0,0,0.11773649511933358,0
TX000007,AC00199,7.08,2023-02-15 16:36:48,0,39,D000241,140.212.253.222,M019,0,37,0,139,1,13316.71,2024-11-04 08:10:09,-54228801.0,16,2,0,0,0,0,0.0005316229291672518,0
TX000008,AC00069,171.42,2023-05-08 17:47:59,0,16,D000500,92.214.76.157,M020,1,67,2,291,1,2796.24,2024-11-04 08:10:55,-47139776.0,17,0,0,0,0,0,0.06128183495159514,0
TX000009,AC00135,106.23,2023-03-21 16:59:46,0,11,D000690,24.148.92.177,M035,1,51,1,86,1,9095.14,2024-11-04 08:11:14,-51289888.0,16,1,0,0,0,0,0.011678580144984577,0
TX000010,AC00385,815.96,2023-03-31 16:06:57,1,26,D000199,32.169.88.41,M007,0,55,0,120,1,1021.88,2024-11-04 08:06:32,-50428775.0,16,4,0,0,0,0,0.7977084310965118,0
